idOferta;nick;pais;tipoVendedor;ventas;stock;language;quality;hayIconoEsp;iconoEsp;hayFoto;hayComentario;comentario;quantity;precio;moneda;finiOferta;ffinOferta
articleRow1812505606;Phlwe;Switzerland;Private;46,0;1287,0;Korean;NM;False;-;True;True;in Toploader, perfect condition! Ask for more scans!;1;20,0;€;2025-04-10;
articleRow1815738166;Tami-;Germany;Private;217,0;1,0;Korean;NM;False;-;False;False;-;1;28,0;€;2025-04-10;
articleRow1819566207;FlynnOxx;Netherlands;Professional;3752,0;528,0;Japanese;EX;False;-;True;True;Excellent cards may have some white dots or light scuffs on the surface A103;1;28,99;€;2025-04-10;2025-04-14
articleRow1811616457;PokeTrov;Slovakia;Professional;674,0;658,0;Japanese;NM;False;-;False;False;-;1;29,0;€;2025-04-10;
articleRow1816316896;robimat92;Germany;Professional;327,0;662,0;Korean;NM;False;-;False;True;PJ / Daily shipping / Avg. 3 days to you;1;29,89;€;2025-04-10;2025-04-14
articleRow1816500721;Komorebi-Cards;Sweden;Professional;442,0;273,0;Japanese;NM;False;-;False;False;-;1;29,98;€;2025-04-10;
articleRow1667685270;BulldogCardTraders;United Kingdom;Professional;24185,0;1510,0;Japanese;NM;False;-;False;False;-;1;29,99;€;2025-04-10;
articleRow1817349790;Bastitilein;Germany;Private;221,0;1512,0;Korean;NM;False;-;False;False;-;1;30,0;€;2025-04-10;
articleRow1803359434;TasKe;Belgium;Private;54,0;1,0;Japanese;NM;False;-;False;False;-;1;30,0;€;2025-04-10;
articleRow1664939870;Game-Knight;Denmark;Professional;2035,0;205,0;Korean;NM;False;-;False;False;-;1;30,02;€;2025-04-10;
articleRow1817716972;poki-lincs;United Kingdom;Private;26,0;1076,0;Japanese;NM;False;-;False;True;New Seller. Sleeve & Top Loader;1;30,73;€;2025-04-10;2025-04-14
articleRow1811634098;Loganetor;Netherlands;Private;33,0;73,0;Japanese;NM;False;-;True;True;Sleeved + Toploader, Shipped in Bubble Envelope;1;32,0;€;2025-04-10;2025-04-14
articleRow1819889572;lemonfresh;France;Private;138,0;359,0;Japanese;NM;False;-;False;False;-;1;32,99;€;2025-04-10;2025-04-14
articleRow1812766622;rudolf33;Netherlands;Private;57,0;339,0;Japanese;NM;False;-;False;True;Booster -> sleeve -> Toploader;1;32,99;€;2025-04-10;
articleRow1811042185;MoPgOd;Germany;Private;28,0;259,0;Korean;NM;False;-;False;False;-;1;33,0;€;2025-04-10;
