fecha;pormedioVenta
27.01.2025;9,72
28.01.2025;5,23
29.01.2025;5,68
30.01.2025;5,8
31.01.2025;4,94
01.02.2025;5,96
02.02.2025;5,8
03.02.2025;5,1
04.02.2025;4,73
05.02.2025;4,91
06.02.2025;4,75
07.02.2025;6,18
08.02.2025;5,63
09.02.2025;5,25
10.02.2025;4,68
11.02.2025;5,05
12.02.2025;5,47
13.02.2025;6,12
14.02.2025;6,43
15.02.2025;5,39
16.02.2025;8,39
17.02.2025;5,66
18.02.2025;5,5
19.02.2025;6,42
20.02.2025;6,6
21.02.2025;8,13
22.02.2025;5,5
23.02.2025;6,33
24.02.2025;6,0
25.02.2025;5,48
26.02.2025;6,0
27.02.2025;5,3
28.02.2025;5,48
01.03.2025;6,69
02.03.2025;5,4
03.03.2025;6,2
04.03.2025;5,77
05.03.2025;6,27
06.03.2025;6,14
07.03.2025;6,57
08.03.2025;6,45
09.03.2025;7,25
10.03.2025;6,73
11.03.2025;5,88
12.03.2025;8,5
13.03.2025;6,65
14.03.2025;6,43
15.03.2025;12,83
16.03.2025;6,69
18.03.2025;7,62
19.03.2025;6,38
20.03.2025;6,38
21.03.2025;6,72
22.03.2025;6,49
24.03.2025;5,88
25.03.2025;6,37
26.03.2025;6,58
27.03.2025;6,97
28.03.2025;6,74
29.03.2025;6,49
30.03.2025;7,0
31.03.2025;6,96
01.04.2025;5,99
02.04.2025;6,6
03.04.2025;7,22
05.04.2025;6,76
06.04.2025;6,29
07.04.2025;6,5
08.04.2025;6,42
09.04.2025;6,62
10.04.2025;7,9
11.04.2025;6,5
12.04.2025;6,75
13.04.2025;6,76
14.04.2025;5,85
15.04.2025;5,67
