idOferta;nick;pais;tipoVendedor;ventas;stock;language;quality;hayIconoEsp;iconoEsp;hayFoto;hayComentario;comentario;quantity;precio;moneda;finiOferta;ffinOferta
articleRow1797767925;PikaTrick;Germany;Professional;9627,0;15414,0;English;NM;False;-;True;False;-;1;150,0;€;2025-03-05;
articleRow1798317764;ConstantinK1603;Germany;Private;1971,0;73,0;German;GD;False;-;True;True;ask for more pictures :);1;27,99;€;2025-03-06;2025-03-09
articleRow1749335178;KG1910;Germany;Private;73,0;2,0;German;GD;False;-;False;True;gute Vorderseite, schlechte Rückseite (pls ask for pics);1;25,0;€;2025-03-08;
articleRow1799123247;Jeff-Pesos;Italy;Professional;1240,0;79836,0;Italian;PL;False;-;False;True;C.0.3;1;41,96;€;2025-03-08;2025-03-13
articleRow1772734958;Outpostgamecenter;Belgium;Private;94802,0;82784,0;English;PL;False;-;False;True;Holo Huge selection, no shipping on holidays and weekends.;1;64,02;€;2025-03-08;2025-03-11
articleRow1420733337;Roll-n-Trade;Greece;Professional;16861,0;58249,0;English;GD;False;-;False;True;Secure & Fast Shipping!;1;149,99;€;2025-03-08;2025-04-08
articleRow1798317764;ConstantinK1603;Germany;Private;1971,0;72,0;German;GD;False;-;True;True;ask for more pictures :);1;24,99;€;2025-03-09;2025-03-10
articleRow1798317764;ConstantinK1603;Germany;Private;1976,0;68,0;German;GD;False;-;True;True;ask for more pictures :);1;21,99;€;2025-03-10;2025-03-11
articleRow1506515610;MagicHistory-PERUGIA;Italy;Professional;15396,0;94853,0;Italian;PL;False;-;False;True;PL | Store in Perugia!;1;41,95;€;2025-03-10;2025-03-13
articleRow1800546425;Bulbicards;France;Private;440,0;16437,0;French;PO;False;-;True;True;Envoi rapide et soigné !;1;45,0;€;2025-03-10;2025-04-16
articleRow1772734958;Outpostgamecenter;Belgium;Private;95094,0;82535,0;English;PL;False;-;False;True;Holo Huge selection, no shipping on holidays and weekends.;1;60,75;€;2025-03-11;2025-03-23
articleRow1557613184;HazeKees;Netherlands;Private;439,0;31,0;English;NM;False;-;True;True;24/6 safe shipping - back exc normal border ask pictures;1;74,95;€;2025-03-11;2025-03-23
